纳税人信用等级,社会信用代码,主管税务机关名称,生成时间,纳税人识别号,纳税人名称
A,91110105661585608C,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105661585608C,计世在线网络技术（北京）有限公司
A,91110105661585931T,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105661585931T,北京力元泰电梯有限公司
A,911101056615861250,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101056615861250,北京中际慧通科技有限公司
A,91110105661586440K,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110105661586440K,北京市京客网科技有限公司
A,91110105661587793A,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105661587793A,北京红义联行经贸有限公司
A,91110105661589043U,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105661589043U,飘飘人数字科技（北京）有限公司
A,91110105661591020E,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105661591020E,北京御鼎盛源商贸有限公司
A,911101056615917683,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101056615917683,北京蓝海易通咨询有限公司
A,91110105569483721K,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569483721K,北京先进昊维化工产品有限公司
A,91110105569484118D,国家税务总局北京经济技术开发区税务局,5/4/2025 18:31:18,91110105569484118D,米兰克拉克自动化设备（北京）有限公司
A,91110105569484513L,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569484513L,北京卡梅里诺服装有限公司
A,91110105569487706X,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569487706X,北京泰和通达商贸有限公司
A,91110105569487730E,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,91110105569487730E,吉作即作（北京）文化发展有限公司
A,91110105569487853F,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569487853F,北京薇薇秀颜美容信息咨询有限公司
A,911101055694889604,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694889604,北京环科石化工程技术有限公司
A,911101055694897600,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694897600,北京紫藤飘香食品商贸有限公司
A,91110105569490841D,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569490841D,北京优桥商务咨询有限公司
A,911101055694926284,国家税务总局北京经济技术开发区税务局,5/4/2025 18:31:18,911101055694926284,北京梦威斯国际贸易有限公司
A,911101055694928634,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694928634,北京市京通恒盛经贸有限责任公司
A,91110105569493014U,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,91110105569493014U,发康国际贸易（北京）有限公司
